shape,N,pattern,distortion_kind,distortion_strength,replicate,seed,baseline_spatial_score,baseline_coverage,baseline_abstain,distorted_spatial_score,distorted_coverage,distorted_abstain,delta_s,abs_delta_s,time,schema_version
disk,2000,wedge,none,0.0,1,1001,0.03371030715409736,0.278,False,0.03371030715409736,0.278,False,0.0,0.0,0.07465195655822754,2.0
disk,2000,wedge,none,0.0,0,1000,0.03913154160990575,0.2775,False,0.03913154160990575,0.2775,False,0.0,0.0,0.07820725440979004,2.0
disk,2000,wedge,none,0.0,2,1002,0.03109679089268746,0.284,False,0.03109679089268746,0.284,False,0.0,0.0,0.07885122299194336,2.0
disk,2000,wedge,none,0.0,3,1003,0.020697499369233218,0.266,False,0.020697499369233218,0.266,False,0.0,0.0,0.0761561393737793,2.0
disk,2000,wedge,rotate,0.0,0,1005,0.02341622819999749,0.2805,False,0.02341622819999749,0.2805,False,0.0,0.0,0.07199406623840332,2.0
disk,2000,wedge,none,0.0,4,1004,0.02717259929051633,0.274,False,0.02717259929051633,0.274,False,0.0,0.0,0.07932496070861816,2.0
disk,2000,wedge,rotate,0.0,1,1006,0.03572097486198197,0.2805,False,0.03572097486198197,0.2805,False,0.0,0.0,0.07140922546386719,2.0
disk,2000,wedge,rotate,0.0,2,1007,0.02276130455253424,0.2655,False,0.02276130455253424,0.2655,False,0.0,0.0,0.07401418685913086,2.0
disk,2000,wedge,rotate,0.0,3,1008,0.048871548211814476,0.291,False,0.048871548211814476,0.291,False,0.0,0.0,0.0762627124786377,2.0
disk,2000,wedge,rotate,0.0,4,1009,0.026402820919289402,0.2555,False,0.026402820919289402,0.2555,False,0.0,0.0,0.07679581642150879,2.0
disk,2000,wedge,rotate,15.0,0,1010,0.02420898384796358,0.2535,False,0.02420898384796358,0.2535,False,0.0,0.0,0.15380597114562988,2.0
disk,2000,wedge,rotate,15.0,1,1011,0.027686310273438375,0.294,False,0.02768631027343837,0.294,False,-3.469446951953614e-18,3.469446951953614e-18,0.156602144241333,2.0
disk,2000,wedge,rotate,15.0,2,1012,0.04279834778325673,0.281,False,0.04279834778325673,0.281,False,0.0,0.0,0.15402722358703613,2.0
disk,2000,wedge,rotate,15.0,3,1013,0.03131776693591736,0.289,False,0.03131776693591736,0.289,False,0.0,0.0,0.14733576774597168,2.0
disk,2000,wedge,rotate,15.0,4,1014,0.021073039020979074,0.289,False,0.021073039020979074,0.289,False,0.0,0.0,0.15283989906311035,2.0
disk,2000,wedge,rotate,45.0,0,1015,0.028259393359780283,0.2935,False,0.028259393359780283,0.2935,False,0.0,0.0,0.15062975883483887,2.0
disk,2000,wedge,rotate,45.0,1,1016,0.021781102788207045,0.274,False,0.021781102788207045,0.274,False,0.0,0.0,0.1571500301361084,2.0
disk,2000,wedge,rotate,45.0,2,1017,0.02760714228577867,0.2705,False,0.02760714228577867,0.2705,False,0.0,0.0,0.15982294082641602,2.0
disk,2000,wedge,rotate,45.0,3,1018,0.02380617543198614,0.285,False,0.02380617543198614,0.285,False,0.0,0.0,0.14385294914245605,2.0
disk,2000,wedge,rotate,45.0,4,1019,0.02632896378999287,0.2805,False,0.026328963789992874,0.2805,False,3.469446951953614e-18,3.469446951953614e-18,0.1538999080657959,2.0
disk,2000,wedge,rotate,90.0,0,1020,0.031121811472959237,0.2785,False,0.031121811472959237,0.2785,False,0.0,0.0,0.15566706657409668,2.0
disk,2000,wedge,rotate,90.0,1,1021,0.024947481517167667,0.2785,False,0.024947481517167667,0.2785,False,0.0,0.0,0.15607595443725586,2.0
disk,2000,wedge,rotate,90.0,2,1022,0.03832670702959123,0.283,False,0.03832670702959122,0.283,False,-6.938893903907228e-18,6.938893903907228e-18,0.14793610572814941,2.0
disk,2000,wedge,rotate,90.0,3,1023,0.02322403645505444,0.283,False,0.02322403645505444,0.283,False,0.0,0.0,0.1605522632598877,2.0
disk,2000,wedge,rotate,90.0,4,1024,0.033408141118926475,0.274,False,0.033408141118926475,0.274,False,0.0,0.0,0.14248132705688477,2.0
disk,2000,wedge,rotate,180.0,0,1025,0.02737487067770784,0.29,False,0.02737487067770784,0.29,False,0.0,0.0,0.155134916305542,2.0
disk,2000,wedge,rotate,180.0,1,1026,0.023847260880688375,0.274,False,0.02384726088068837,0.274,False,-3.469446951953614e-18,3.469446951953614e-18,0.1507120132446289,2.0
disk,2000,wedge,rotate,180.0,2,1027,0.02999725749104274,0.2835,False,0.02999725749104274,0.2835,False,0.0,0.0,0.14475393295288086,2.0
disk,2000,wedge,rotate,180.0,3,1028,0.024110925905616715,0.2895,False,0.024110925905616715,0.2895,False,0.0,0.0,0.1515798568725586,2.0
disk,2000,wedge,rotate,180.0,4,1029,0.03725077953660262,0.285,False,0.03725077953660262,0.285,False,0.0,0.0,0.1515030860900879,2.0
